batch size,data parallel,model parallel,thread num,fifo size,End to end FPS,Hardware FPS,Total execution time(ms),Prepare input time(ms),Copyin time(ms),Execution time(ms),Copyout time(ms),Post process time(ms)
4,2,1,8,2,1288.85,1822.394,993397.6,1270.7464,9285.34925,6612.5416,66.0044,169.7306
4,1,4,8,2,1288.422,1661.074,993886.6,1290.0212,13104.7525,7162.4762,92.4214,197.1428
4,8,1,16,2,1283.906,7496.034,997333.2,2080.5448,683.2382,3729.5144,82.0664,169.8296
8,2,4,8,2,1282.09,3284.242,998999,1290.516,824.3847,4117.276,44.5888,183.9428
8,1,8,8,2,1280.084,2840.278,1000099.8,1275.5258,916.9247,4605.7436,53.8942,182.2406
2,8,1,8,2,1276.168,4413.688,1003754.8,1299.8264,2225.31275,3323.9406,65.7474,168.1484
4,2,4,32,2,1267.88,12164.78,1010317,3386.8932,5195.2156,4382.795,387.9336,204.5146
16,1,4,8,2,1265.926,1956.416,1011551.4,1311.334,10048.1699,6247.1054,40.3496,194.0744
1,8,1,8,2,1262.888,4126.564,1014452.8,1310.748,15297.444,3496.2314,35.0304,222.4294
8,1,2,8,2,1262.612,1507.518,1014060,1293.9568,712.80005,7807.09,52.557,184.1132
8,1,4,8,2,1261.992,1842.208,1015011.4,1311.8254,859.6792,6574.878,49.9802,187.845
8,2,8,8,2,1261.986,6346.28,1014586,1287.783,1441.1371,2628.9306,46.8822,176.9604
1,2,1,8,2,1258.735,1692.6125,1017498.25,1333.556,3703.7432,7067.9605,56.237,216.49175
2,4,2,32,2,1256.34,11824.64,1019458.8,3248.6598,7949.682,4484.906,535.826,206.5316
4,4,4,8,2,1252.124,6537.976,1022584,1306.4582,15443.5387,2589.077,52.2636,172.4986
2,16,1,16,2,1250.9,13593.08,1024011.8,2078.542,24399.70325,2530.8948,112.6968,161.178
2,8,2,8,2,1245.752,6601.034,1030240.8,1308.4406,646.4794,2581.7186,69.6902,170.4594
4,4,2,8,2,1244.544,3451.17,1031254.4,1273.4764,763.94365,3998.7444,54.861,174.4778
2,1,2,16,2,1242.996,2588.736,1029908,1431.4254,841.6727,8941.2856,147.4742,216.537
4,1,2,8,2,1242.626,1432.468,1030156,1312.176,898.44425,8178.8102,86.6564,193.8162
4,1,2,32,2,1241.592,5630.24,1031382,3014.2894,1380.86945,8306.914,186.5212,285.4796
2,16,1,8,2,1239.886,8354.186,1032857.4,1292.1648,2874.0513,2258.6476,65.1398,178.673
8,2,2,8,2,1239.37,2030.278,1033004,1304.5012,3432.116,6079.6304,49.1686,185.9746
16,1,2,16,2,1231.36,2991.054,1039714,1653.2966,645.38785,7887.201,45.4932,197.921
1,16,1,8,2,1229.702,7249.228,1042688,1320.0882,775.10325,2455.531,30.807,207.679
4,1,1,64,2,1228.24,5658.45,1042140,13545.717,903.90645,15519.592,655.284,801.145
16,1,16,8,2,1227.682,6013.346,1042652,1323.7094,2268.23445,2747.0794,40.8228,190.7254
16,1,8,8,2,1226.298,3137.472,1045028,1313.4006,4994.7275,4309.1764,40.152,186.199
1,4,1,64,2,1223.93,16696.6,1045810,13242.412,9196.182125,5952.189,366.124,221.797
2,1,2,32,2,1215.12,5225.032,1053524,2710.2376,9210.74925,8893.513,252.2394,274.4562
8,4,8,8,2,1209.744,13681.42,1058226,1350.2248,664.69945,1806.708,40.8074,176.6476
8,1,2,32,2,1204.82,5870.516,1065454,3344.68,793.33965,8043.0258,275.9216,332.6876
4,8,1,8,2,1203.254,4581.84,1064584,1367.8084,872.2847,3299.56,49.867,191.0474
1,2,1,64,2,1202.33,12259.6,1064600,14373.729,1867.6235,7746.706,247.125,185.597
4,8,4,8,2,1201.072,13326.56,1067474.8,1349.3966,4243.2777,1835.8846,50.6636,175.7718
2,1,2,8,2,1200.646,1344.948,1066126,1278.7304,7706.505,8679.9688,112.5224,170.1126
8,2,1,8,2,1199.716,1853.236,1067490,1294.8024,6884.393,6593.231,46.0876,185.2686
8,4,4,8,2,1187.752,6984.612,1078296,1348.6722,671.13425,2544.4978,41.8672,187.2308
8,1,8,32,2,1186.196,11321.72,1080572,3412.8526,793.52,4698.8348,273.2972,340.0106
4,4,1,8,2,1185.862,2823.056,1080716,1313.344,906.2691,4710.558,51.8978,174.4462
16,1,2,8,2,1183.698,1556.314,1081454,1335.0132,2240.95525,7661.8676,40.5406,194.596
16,2,8,8,2,1181.924,6840.986,1083918,1337.3874,4916.5874,2581.0782,38.556,191.3274
8,2,2,32,2,1178.44,6041.462,1086630,3414.2482,8830.617375,7866.6826,232.1694,188.0694
2,16,2,8,2,1175.178,12372.3,1089592,1350.1198,664.2179,1917.2618,63.1006,169.6054
4,8,2,8,2,1175.02,7093.662,1089600,1365.1994,743.7449,2533.2304,49.6768,187.1456
8,2,1,32,2,1170.076,6016.238,1094358,3439.8408,804.722,7902.8076,228.0202,193.3492
16,2,16,8,2,1161.168,13516.54,1104308,1401.9798,906.79365,1861.9108,43.666,191.4382
1,16,1,32,2,1160.62,23464.76,1103664,3719.141,1262.48495,2849.5138,130.5292,176.6716
8,4,2,8,2,1155.296,3688.69,1110438,1367.6724,2191.6734,3887.0296,42.0158,194.0212
1,32,1,8,2,1149.4,12236.86,1114276,1374.0682,9280.26275,1951.1052,33.6006,200.4694
2,2,1,64,2,1143.47,13578.9,1119400,13005.344,654.56975,7152.307,1086.688,200.135
16,2,4,8,2,1137.586,3521.244,1126330,1394.025,755.80265,4034.5592,41.6604,191.603
8,4,1,8,2,1130.85,2850.422,1132412,1342.4356,1006.6057,4726.1642,42.2858,193.202
32,1,16,8,2,1122.098,6451.44,1143150,1484.7464,2540.8825,2730.833,37.1926,199.9248
16,2,8,16,2,1120.294,11544.78,1144764,2035.4826,4844.418375,2920.2058,63.0324,178.053
16,1,4,32,2,1119.1,5854.12,1145616,3472.4974,7309.357625,8143.4692,167.344,290.0234
16,2,2,16,2,1119.006,3152.012,1143968,2189.6828,666.875,7641.5994,53.6918,193.1224
4,4,2,32,2,1118.952,11191.5,1144844,3340.4966,744.31765,4806.449,318.1702,194.2108
32,1,32,8,2,1116.752,12845.66,1147498,1514.1978,869.02215,1944.6664,35.677,191.0604
16,2,2,8,2,1110.15,2101.102,1153606,1401.833,1988.0127,6029.4108,39.6714,201.3296
8,4,2,16,2,1105.678,5937.07,1158206,2032.5798,4052.60585,4608.431,67.0108,185.5824
8,4,4,16,2,1103.754,11591.3,1159958,1973.247,5669.64675,2927.1542,69.2344,190.6006
32,1,4,8,2,1102.17,1989.112,1163350,1463.5394,683.2414,6313.1138,37.392,194.301
4,4,4,32,2,1097.656,21590.92,1166650,3556.2472,769.38305,3064.85,309.0066,193.7882
4,8,2,16,2,1096.984,11597.1,1167194,2073.4676,834.06615,2934.0226,99.3912,191.6242
32,1,4,16,2,1095.154,3109.01,1170782,2285.5056,928.20815,7761.2764,46.615,194.9944
32,1,8,8,2,1094.4072,3368.084,1177504,1539.4242,1206.818,4218.6252,37.441,193.7992
8,2,4,32,2,1086.916,10878.92,1178818,3451.3804,2379.67715,4944.9816,225.3496,193.1392
8,4,8,16,2,1081.872,22761.14,1184108,2051.2246,10571.16625,2083.8928,68.9376,174.618
16,2,4,16,2,1078.186,5682.71,1188512,2099.9118,678.7797,4793.8752,54.6692,184.0324
16,2,1,8,2,1077.136,1864.01,1190630,1429.369,783.2438,6684.3006,43.5266,190.042
2,2,2,64,2,1075.7,12955.3,1189920,13185.352,1458.6958,7513.194,1121.911,207.318
2,1,2,64,2,1072.71,10406,1193240,13482.936,3152.1375,9065.658,758.783,791.504
2,8,2,32,2,1069.898,21279.52,1197542,3629.5496,4725.550375,3123.0436,382.0528,188.5318
16,2,1,16,2,1066.952,2988.066,1200422,2138.7958,712.42625,8056.9988,53.3958,198.0634
8,2,8,32,2,1066.126,20893.56,1201926,3272.6472,754.25905,3165.7506,212.3928,189.501
32,1,2,8,2,1065.084,1551.766,1201962,1391.439,852.81845,7801.03,37.1468,201.3898
4,8,4,16,2,1057.024,22117.76,1211060,2049.8384,985.30275,2137.0244,88.1994,181.3268
32,1,8,16,2,1055.865,5482.22,1216248,2192.2198,1310.7382,4954.0252,53.7004,196.116
16,1,8,32,2,1053.4876,10426.98,1215922,3233.8342,2971.4759,5144.2802,151.6934,291.9914
16,1,16,32,2,1044.205,20382.2,1227530,3723.31,12354.08675,3241.766,171.967,297.538
4,1,4,64,2,1043.21,12865.3,1226990,14475.666,1651.026,7594.485,682.377,888.956
2,16,2,16,2,1032.9758,20495.92,1240550,1950.4038,1613.0427,2239.78,116.9104,170.0278
16,2,16,16,2,1029.3752,22478.96,1247058,2575.9176,1537.51025,2158.1478,66.1238,184.0312
32,1,1,16,2,1023.9534,1606.772,1254016,2229.008,1645.7615,14001.1172,53.331,195.143
32,1,32,16,2,1013.6732,21405.34,1265374,2176.4804,1832.8308,2222.1582,59.5472,196.7188
16,1,32,8,2,1012.996,9106.842,1263648,1348.8156,2784.2318,2388.0784,39.7898,185.6574
4,16,1,8,2,1011.498,7420.852,1265494,1705.1794,875.411,2645.4342,64.9618,186.7946
32,1,16,16,2,1010.3284,10744.4,1270312,2280.6446,793.76165,3180.899,62.7358,201.4372
16,1,2,32,2,1008.4212,4983.02,1269654,3539.4172,903.83885,9489.6616,147.3828,301.461
8,8,1,8,2,998.0216,3837.01,1282976,1680.1214,933.11555,3951.8542,51.4334,192.8758
16,1,32,16,2,992.4365,18214.25,1290210,1636.3605,1146.90145,2414.604,49.195,197.6395
4,1,2,64,2,984.846,11491.8,1299700,14610.183,2878.23625,8428.266,527.32,803.924
1,32,1,16,2,984.658,20221.64,1300530,2183.42,5524.1327,2313.3382,54.0516,173.9802
8,4,1,32,2,977.7828,5958.29,1313672,4368.2682,4828.6795,8188.6422,230.3328,179.3042
4,8,1,32,2,977.6526,11242.92,1311468,4473.6438,652.4964,4954.715,312.1306,174.7066
8,1,1,8,2,973.6236,1052.438,1314688,1403.859,805.46805,11044.5058,53.5348,199.0708
4,1,1,8,2,971.7328,1040.372,1317352,1374.2398,878.94,11160.0116,84.5628,191.6606
32,1,2,16,2,968.0678,2523.074,1323220,2192.2492,1627.57975,9440.3536,52.5716,205.6052
4,1,8,8,2,967.5592,2030.376,1323062,1374.3072,4103.44475,6366.937,96.698,188.1546
2,32,1,8,2,965.4804,12466.64,1325916,1701.9526,7865.24975,2147.3314,93.9392,192.1622
4,1,8,16,2,964.6738,4020.84,1327010,1537.1836,9810.888,6420.7754,85.4202,186.81
2,1,4,8,2,961.7178,1029.756,1331126,1356.0086,661.438,11275.977,132.704,182.2282
16,4,1,8,2,955.33,2232.438,1340460,1713.0768,807.309,5929.3864,47.2248,193.2656
2,1,4,16,2,952.496,1954.574,1343862,1426.632,851.41675,11821.9474,137.9904,199.1282
