128,1,1,1,1054.38
128,1,1,128,10465.9
128,1,1,16,15081.5
128,1,1,2,2077.7
128,1,1,32,17491.7
128,1,1,4,4107.57
128,1,1,64,13764.0
128,1,1,8,8085.56
128,1,2,1,1960.6
128,1,2,2,3823.06
128,1,2,4,6224.8
128,1,2,8,6211.84
128,1,4,1,3550.88
128,1,4,16,9135.13
128,1,4,2,6263.9
128,1,4,4,10122.9
128,1,4,8,9406.38
128,1,8,1,7216.91
128,1,8,16,16089.6
128,1,8,2,12845.6
128,1,8,32,13234.6
128,1,8,4,16585.5
128,1,8,64,9661.65
128,1,8,8,16868.7
128,16,1,1,7075.13
128,16,1,16,7062.32
128,16,1,2,12170.0
128,16,1,4,11757.6
128,16,1,8,12520.7
128,2,1,1,2063.41
128,2,1,16,12169.6
128,2,1,2,4081.28
128,2,1,32,8559.34
128,2,1,4,7984.22
128,2,1,64,8092.47
128,2,1,8,15160.8
128,2,2,1,3644.25
128,2,2,2,6422.03
128,2,2,4,7164.17
128,2,4,1,5949.46
128,2,4,2,8793.87
128,2,4,4,9186.68
128,2,4,8,9343.99
128,2,8,1,9193.75
128,2,8,16,14585.7
128,2,8,2,15987.0
128,2,8,32,9295.42
128,2,8,4,17856.9
128,2,8,8,16486.7
128,24,1,1,6915.67
128,24,1,2,10286.5
128,24,1,4,10671.5
128,24,1,8,7063.77
128,32,1,1,6772.85
128,32,1,2,8947.74
128,32,1,4,9979.37
128,32,1,8,6918.58
128,4,1,1,3994.74
128,4,1,16,14354.6
128,4,1,2,7688.69
128,4,1,32,11573.8
128,4,1,4,14115.9
128,4,1,8,19223.2
128,4,2,1,5866.9
128,4,2,2,5477.28
128,4,4,1,7163.62
128,4,4,2,6353.37
128,4,4,4,6422.6
128,4,8,1,9892.77
128,4,8,16,11897.7
128,4,8,2,14255.9
128,4,8,4,18802.1
128,4,8,8,15456.9
128,8,1,1,6626.81
128,8,1,16,13059.0
128,8,1,2,11865.5
128,8,1,32,6339.71
128,8,1,4,16722.4
128,8,1,8,14237.8
128,8,2,1,3919.1
128,8,4,1,5595.72
128,8,4,2,5610.66
16,1,1,1,1038.42
16,1,1,128,21284.9
16,1,1,16,15833.7
16,1,1,2,2016.35
16,1,1,32,25235.7
16,1,1,4,4134.59
16,1,1,64,24896.5
16,1,1,8,8182.0
16,1,2,1,1858.56
