1	1	55.67416667	56.33683333
1	2	110.96475	112.7275
1	4	221.57775	225.7325
1	8	397.021	407.787
1	16	560.299	582.33125
1	32	536.5295	571.22375
1	64	478.63	1052.255
1	1	86.514675	88.730475
1	2	160.09925	164.26175
1	4	248.8265	258.60875
1	8	291.43025	300.72275
1	16	283.12675	570.34525
1	32	287.917	1167.205
1	1	136.2745	141.73
1	2	226.80025	236.1965
1	4	291.01825	302.25675
1	8	242.944	247.06325
1	16	219.79	442.31925
1	32	204.7605	828.9465
1	1	176.356	187.2035
1	2	242.64075	258.652
1	4	223.75375	228.1205
1	8	221.28	445.5755
1	16	215.6095	869.4665
1	32	212.176	1717.855
1	1	169.8915	181.5975
1	2	203.622	213.493
1	4	204.76425	416.32775
1	8	203.1285	826.71225
1	16	203.2565	1658.36
1	32	204.8275	3345.355
1	1	177.82025	200.25825
1	2	187.108	394.3465
1	4	187.30525	790.46
1	8	186.76725	1578.85
1	16	186.8035	3160.71
1	32	185.1285	6318.23
2	1	100.81925	101.99225
2	2	199.34625	203.65425
2	4	395.72525	407.2145
2	8	623.1245	643.36
2	16	570.19875	1163.6025
2	32	549.395	2280.78
2	64	532.257	4615.79
2	1	148.9645	152.72
2	2	238.856	247.79725
2	4	273.1885	285.66
2	8	279.865	289.1935
2	16	263.0295	530.426
2	32	274.9445	1118.16
2	1	191.33075	200.584
2	2	266.915	278.22075
2	4	229.51275	232.40025
2	8	173.3435	348.82575
2	16	173.822	700.07575
2	32	171.826	1388.06
2	1	235.34675	259.89475
2	2	249.8235	260.62775
2	4	244.16825	494.64875
2	8	244.109	989.14175
2	16	248.4025	2016.055
2	32	237.981	3884.59
2	1	211.28575	230.26325
2	2	224.62275	463.7235
2	4	221.084	912.97625
2	8	220.68975	1826.43
2	16	220.9905	3655.53
4	1	145.25575	147.081
4	2	287.66125	294.2585
4	4	558.24825	588.02925
4	8	770.70525	817.55325
4	16	689.3385	1427.875
4	32	647.8565	2749.36
4	64	612.2355	5739.005
4	1	203.18825	210.94625
4	2	236.6505	240.82225
4	4	248.72	252.88825
4	8	238.65775	482.03625
4	16	237.3815	959.7665
4	1	214.876	227.03875
4	2	193.207	196.44875
4	4	195.777	395.47925
4	8	176.90525	714.362
4	16	183.836	1486.1
4	1	251.50475	287.24875
4	2	268.71775	550.84625
4	4	263.37825	1078.8525
4	8	264.199	2166.7875
4	16	263.323	4329.245
8	1	206.9405	213.1495
8	2	375.37625	426.7185
8	4	683.19175	848.84
8	8	675.9505	1416.555
8	16	678.078	2881.1775
8	32	651.991	5651.63
8	1	190.6615	195.23275
8	2	196.56575	199.7975
8	4	198.50025	402.5135
8	8	193.2485	781.237
8	1	132.3535	134.18675
8	2	134.16525	271.4895
8	4	139.53375	564.9765
8	8	141.7465	1147.48
8	16	138.6145	2251.745
16	1	241.705	375.013
16	2	422.45125	731.69325
16	4	571.171	1226.11
16	8	590.3265	2532.7875
16	16	587.695	5062.2725
16	32	484.643	8500.53
16	1	166.95825	170.79125
16	2	167.07575	340.527
16	4	167.644	681.216
32	1	235.55	544.9945
32	2	412.5735	1089.73
32	4	499.54975	2182.665
32	8	497.35075	4354.06
32	16	419.3035	7290.875
32	32	303.0335	10854.85
