75276,19432,17600
92928,21675,20112
98304,22756,20995
100000,22461,21529
102400,23056,22057
131072,27662,25987
147456,30036,28530
204800,39416,37227
262144,48071,46758
294912,53372,51360
307200,55760,53515
409860,76765,70361
524288,90666,87406
589824,99679,97918
1000000,169160,163382
1048576,171974,170274
1179648,199493,192671
1228800,206550,199651
1280000,215278,208685
1581056,261680,255071
1638400,271066,264052
1638916,270977,264415
2359296,384551,376477
2654208,430729,422843
3538944,569681,561837
4718592,757002,745799
6422528,1024374,1012003
8306688,1320688,1306377
8388608,1332036,1319341
9437184,1498236,1483195
10000000,1587530,1571434
11075584,1755376,1739614
11943936,1893318,1876184
12845056,2034033,2015653
16613376,2626880,2604951
16777216,2654387,2630666
20447232,3234166,3205901
25000000,3960763,3920705
25690112,4063592,4026171
35831808,5669766,5609854
38535168,6078509,6032319
39321600,6202719,6154202
49561600,7813807,7754930
51380224,8126428,8038455
67108864,10586833,10497451
83886080,13261046,13120400
121228800,19186505,18954818
142655492,25716179,22314066
178438148,28454204,27894663
186482692,29722428,29156201
191102980,30433143,29875017
196608000,31278749,30735974
205520896,32730949,32126597
237568004,37819715,37137659
1258291200,203181024,196645428
3200000000,512981054,500170460
75276,19894,17197
92928,24570,21742
98304,24501,22944
100000,23041,21673
102400,23577,28260
131072,27400,26528
147456,30546,29512
204800,39944,37386
262144,48714,46757
294912,53425,51958
307200,55411,53962
409860,76070,70250
524288,89663,88497
589824,99681,98598
1000000,168491,162170
1048576,172494,169673
1179648,198185,192198
1228800,205325,199148
1280000,213306,207413
1581056,260872,254303
1638400,271095,267193
1638916,269435,263599
2359296,383079,375955
2654208,429217,422494
3538944,568024,560624
4718592,753547,744932
6422528,1021299,1011846
8306688,1320383,1307236
8388608,1336394,1319581
9437184,1501854,1483219
10000000,1592812,1570869
11075584,1764236,1739345
11943936,1902007,1875435
12845056,2047793,2017128
16613376,2626690,2604676
16777216,2651380,2631964
20447232,3227506,3203180
25000000,3945711,3914603
25690112,4054537,4023633
35831808,5662143,5608957
38535168,6108956,6030826
39321600,6198964,6154040
49561600,7818630,7754800
51380224,8170436,8042027
67108864,10654522,10497914
83886080,13246594,13119701
121228800,19192289,18957311
142655492,22618419,22302802
178438148,28355549,27893887
186482692,29635308,29151984
191102980,30430985,29879328
196608000,31234425,30738805
205520896,32768527,32153225
237568004,37821804,37136846
1258291200,200530836,196624700
3200000000,510339394,503590704
75276,19984,17587
92928,21074,21046
98304,23046,20429
100000,22362,21751
102400,22581,21534
131072,28095,25602
147456,30571,28223
204800,39398,37164
262144,48571,46374
294912,53713,51446
307200,55667,53439
409860,76456,70413
524288,89968,87690
589824,99528,97936
1000000,168554,162630
1048576,171981,169602
1179648,198061,192889
1228800,205953,199541
1280000,213723,207363
1581056,260720,254347
1638400,270227,264167
1638916,270134,264022
2359296,383219,376396
2654208,429412,422500
3538944,568998,560867
6422528,1036290,1013500
8306688,1320495,1306864
8388608,1334552,1319303
9437184,1498253,1483186
10000000,1585197,1571841
11075584,1755458,1740556
11943936,1892648,1874938
12845056,2033196,2015659
16613376,2625897,2604436
16777216,2652148,2630409
20447232,3229239,3203523
25000000,3945454,3914771
25690112,4052257,4023729
35831808,5650438,5609012
39321600,6210704,6159141
51380224,8105715,8037488
49561600,7813084,7754376
51380224,8105689,8044065
67108864,10593748,10496957
83886080,13251522,13118223
121228800,19193243,18954033
142655492,22623843,22314760
178438148,28458710,27892315
186482692,29752104,29149996
191102980,30421213,29873122
196608000,31321960,30766579
205520896,32675839,32147721
